Corso di Studio;Num. progr. 2015;Sessione primaverile 2015;Sessione estiva 2015;"Sessioni
2015";"Iscrizioni/
Posti 2015";Num. progr. 2016;Sessione primaverile 2016;Sessione estiva 2016;"Sessioni
2016";"Iscrizioni/
Posti 2016";Num. progr. 2017;Sessione primaverile 2017;Sessione estiva 2017;"Sessioni
2017";"Iscrizioni/
Posti 2017"
Amministrazione aziendale e diritto;130;93;40;133;1,02;130;132;79;211;1,62;130;125;59;184;1,42
Gestione aziendale, iscrizione full-time;175;247;155;402;2,30;175;292;135;427;2,44;175;278;141;419;2,39
Gestione aziendale, iscrizione part-time;45;43;36;79;1,76;45;28;32;60;1,33;45;37;36;73;1,62
Economia e management;175;892;404;1.296;7,41;175;936;398;1.334;7,62;175;778;331;1.109;6,34
Economia e management Totale;525;1.275;635;1.910;3,64;525;1.388;644;2.032;3,87;525;1.218;567;1.785;3,40
Giurisprudenza;500;749;501;1.250;2,50;500;809;448;1.257;2,51;500;787;357;1.144;2,29
Comparative, European and international legal studies (*);-;-;-;-;-;-;-;-;-;-;55;174;98;272;4,95
Facoltà di Giurisprudenza Totale;500;749;501;1.250;2,50;500;809;448;1.257;2,51;555;961;455;1.416;2,55
Filosofia1;150;73;57;130;0,87;150;77;53;130;0,87;150;76;54;130;0,87
Beni culturali;180;111;106;217;1,21;180;142;92;234;1,30;140;121;76;197;1,41
Studi storici e filologico-letterari;160;79;99;178;1,11;160;132;81;213;1,33;150;133;78;211;1,41
Lingue moderne;230;378;335;713;3,10;230;405;311;716;3,11;230;337;333;670;2,91
Lettere e filosofia Totale;720;641;597;1.238;1,72;720;756;537;1.293;1,80;670;667;541;1.208;1,80
Sociologia, iscrizione full-time;150;108;118;226;1,51;150;136;113;249;1,66;150;160;89;249;1,66
Sociologia, iscrizione part-time;20;14;19;33;1,65;-;-;-;-;-;-;-;-;-;-
Studi internazionali;200;286;222;508;2,54;200;395;242;637;3,19;200;382;210;592;2,96
Servizio sociale;60;109;98;207;3,45;60;108;82;190;3,17;60;111;90;201;3,35
Sociologia e ricerca sociale Totale;430;517;457;974;2,27;410;639;437;1.076;2,62;410;653;389;1.042;2,54
Fisica1;90;155;111;266;2,96;90;181;111;292;3,24;90;174;109;283;3,14
Fisica Totale;90;155;111;266;2,96;90;181;111;292;3,24;90;174;109;283;3,14
Ingegneria civile2;-;-;-;-;-;130;110;88;198;1,52;130;95;92;187;1,44
Ingegneria per l'ambiente e il territorio2;-;-;-;-;-;130;86;109;195;1,50;130;97;110;207;1,59
Ingegneria edile/architettura;100;-;99;99;0,99;85;-;62;62;0,73;75;-;92;92;1,23
Ingegneria civile, ambientale e meccanica Totale;100;0;99;99;0,99;345;196;259;455;1,32;335;192;294;486;1,45
Viticoltura ed enologia;-;-;-;-;-;-;-;-;-;-;75;-;189;189;2,52
C3A Totale;-;-;-;-;-;-;-;-;-;-;75;0;189;189;2,52
Ingegneria dell'informazione e organizzazione d'impresa1;60;69;28;97;1,62;60;61;36;97;1,62;60;50;22;72;1,20
Ingegneria dell'informazione e delle comunicazioni1;100;73;45;118;1,18;100;90;44;134;1,34;100;66;37;103;1,03
Informatica1;150;242;178;420;2,80;150;291;196;487;3,25;175;266;156;422;2,41
Ingegneria e scienza dell'informazione Totale;310;384;251;635;2,05;310;442;276;718;2,32;335;382;215;597;1,78
Ingegneria industriale2;-;-;-;-;-;200;202;193;395;1,98;200;208;215;423;2,12
Ingegneria industriale Totale;-;-;-;-;-;200;202;193;395;1,98;200;208;215;423;2,12
Matematica1;90;123;113;236;2,62;90;136;94;230;2,56;90;139;88;227;2,52
Matematica Totale;90;123;113;236;2,62;90;136;94;230;2,56;90;139;88;227;2,52
Scienze e tecnologie biomolecolari;75;-;454;454;6,05;75;-;441;441;5,88;75;-;454;454;6,05
CIBio Totale;75;-;454;454;6,05;75;-;441;441;5,88;75;-;454;454;6,05
Interfacce e tecnologie della comunicazione;70;64;53;117;1,67;70;43;50;93;1,33;70;48;52;100;1,43
Scienze e tecniche di psicologia cognitiva;200;338;455;793;3,97;200;406;576;982;4,91;200;540;615;1.155;5,78
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
